frame,player_id,x,y
0,0,365,554
0,1,1537,631
0,2,784,749
0,3,1816,789
0,4,922,774
0,5,1189,713
0,6,1087,731
1,3,1840,808
1,4,939,739
1,7,1580,661
1,8,307,606
1,9,668,722
1,10,1072,674
1,11,1191,632
1,12,1313,730
2,8,323,601
2,9,649,713
2,4,940,707
2,10,1063,642
2,13,1680,644
2,14,1291,654
2,15,1433,724
2,16,782,752
2,17,1135,571
3,13,1700,632
3,8,368,580
3,18,1340,714
3,19,1122,635
3,20,839,697
3,21,534,404
3,22,668,657
4,23,34,1006
5,24,20,957
5,25,1741,1013
5,26,1792,988
6,24,20,957
6,25,1741,1013
6,26,1792,988
7,27,138,609
7,28,1740,656
7,29,1100,699
7,30,539,715
7,31,734,672
7,32,1286,755
7,33,853,631
8,31,714,705
8,33,882,604
8,30,496,729
8,34,1264,703
8,35,1442,784
8,36,83,714
8,37,1786,705
8,38,1170,638
9,36,80,710
9,33,852,631
9,35,1407,759
9,39,572,689
9,40,1722,685
9,41,226,780
9,42,1193,691
9,43,1087,609
10,43,1073,642
10,44,200,622
10,45,804,669
10,46,629,747
10,47,1509,772
10,48,1859,696
10,49,1302,708
11,50,932,661
11,51,699,745
11,52,1575,677
11,53,1792,747
11,54,356,600
11,55,1417,622
11,56,233,504
11,57,144,504
12,51,714,755
12,58,1074,641
12,59,120,640
12,60,1827,672
12,61,442,652
12,62,847,478
12,63,644,507
12,64,1664,491
13,51,714,755
13,58,1074,641
13,59,120,640
13,60,1827,672
13,61,442,652
13,62,847,478
13,63,644,507
13,64,1664,491
14,51,714,755
14,58,1074,641
14,59,120,640
14,60,1827,672
14,61,442,652
14,62,847,478
14,63,644,507
14,64,1664,491
15,51,714,755
15,58,1074,641
15,59,120,640
15,60,1827,672
15,61,442,652
15,62,847,478
15,63,644,507
15,64,1664,491
16,65,1476,591
16,66,994,416
16,67,1475,263
17,68,791,393
17,69,1321,612
17,70,506,607
18,71,1529,755
18,72,1692,478
18,73,968,613
18,74,90,941
19,71,1503,754
19,72,1688,525
19,75,1006,683
19,76,339,816
19,77,1794,1006
19,78,64,195
20,75,1016,683
20,72,1664,532
20,77,1774,987
20,79,1455,769
20,80,399,788
20,81,790,919
21,82,1397,757
21,83,1604,525
21,84,1822,869
21,85,718,151
21,86,988,593
21,87,1713,966
21,88,127,463
21,89,1565,311
21,90,1854,352
22,91,358,663
22,92,925,869
22,93,1875,844
23,94,1748,781
23,95,632,627
23,96,1072,816
24,97,1652,800
24,98,861,799
24,99,580,637
24,100,1815,570
25,101,811,617
25,102,1116,776
25,103,1528,602
25,104,1841,702
26,105,1474,677
26,106,1753,773
26,107,593,598
26,108,123,630
26,109,316,608
26,110,1020,570
26,111,827,771
26,112,1816,466
27,108,149,620
27,106,1715,804
27,113,1105,704
27,114,540,626
27,115,1363,798
27,116,1574,802
27,117,733,798
27,118,41,647
27,119,1333,532
27,120,1847,808
28,121,981,697
28,122,1836,670
28,123,1651,807
28,124,1261,804
28,125,324,568
28,126,1426,809
28,127,630,790
28,128,1497,810
29,128,1473,817
29,127,652,822
29,124,1222,822
29,129,1605,696
29,130,264,548
29,131,897,695
30,124,1204,827
30,132,350,551
30,133,1451,723
30,134,833,828
30,135,833,507
30,136,1316,777
30,137,1171,503
30,138,1064,567
31,124,1170,825
31,136,1349,747
31,139,430,543
31,140,891,831
31,141,120,561
31,142,882,489
32,142,878,513
32,136,1382,718
32,143,708,795
32,144,1100,801
32,145,250,503
32,146,1024,436
33,144,1106,773
33,136,1420,688
33,147,383,618
33,148,794,774
33,149,825,361
33,150,1011,378
34,151,1187,619
34,152,1510,649
34,153,327,766
34,154,689,761
34,155,127,575
34,156,445,587
35,157,317,549
35,158,1280,586
35,159,890,588
35,160,1484,697
36,157,312,541
36,161,813,629
36,162,1120,676
36,163,1575,547
36,164,1386,664
36,165,1282,682
36,166,902,350
36,167,70,247
36,168,567,325
37,164,1400,631
37,165,1247,657
37,169,917,599
37,170,398,626
37,171,1551,651
37,172,1761,532
37,173,1628,610
37,174,1707,539
37,175,109,703
38,176,1070,675
38,177,621,651
39,178,822,632
39,179,78,558
40,180,100,507
40,181,1046,630
40,182,771,613
41,180,139,504
41,181,1008,640
41,183,635,611
42,184,1100,635
42,185,526,611
42,186,62,648
43,187,581,607
43,188,980,637
43,189,173,637
43,190,217,315
43,191,99,309
44,188,1010,635
44,192,814,595
44,193,1556,552
44,194,268,579
44,195,59,764
44,196,206,808
44,197,435,599
44,198,1221,609
45,199,1400,597
45,200,694,662
45,201,352,806
45,202,1779,543
45,203,1101,622
45,204,896,619
45,205,488,556
45,206,354,466
45,207,175,758
45,208,63,710
45,209,1258,428
46,210,995,608
46,211,624,683
46,212,1525,601
46,213,424,806
46,214,1772,676
46,215,1224,613
46,216,78,636
46,217,307,680
46,218,153,685
46,219,502,444
47,220,687,655
47,221,1245,554
47,222,336,801
47,223,72,747
47,224,1776,607
47,225,1658,695
47,226,151,768
47,227,1000,274
47,228,1696,381
47,229,1409,629
48,226,142,798
48,225,1631,718
48,221,1252,602
48,230,527,586
48,231,992,579
48,232,652,586
48,233,157,405
48,234,1790,745
48,235,315,496
49,233,159,396
49,221,1243,621
49,230,537,566
49,226,185,800
49,236,1686,674
49,237,67,794
49,238,429,667
49,239,880,624
50,240,460,305
50,241,1401,266
50,242,1487,302
51,243,1360,299
51,244,1285,263
51,245,398,306
52,246,319,291
52,247,680,557
52,248,1146,253
53,246,274,289
53,249,1033,249
54,246,240,282
54,249,1000,276
54,250,946,248
55,246,220,284
55,251,1861,1044
55,252,1602,347
55,253,810,318
55,254,889,247
56,246,201,286
56,251,1844,1019
56,255,1773,1009
56,256,1477,335
56,257,1149,461
57,255,1790,1004
57,258,746,598
57,259,1069,443
57,260,1626,947
58,260,1612,944
58,261,330,751
58,262,689,566
58,263,1672,942
58,264,1003,432
59,261,299,728
59,262,642,550
59,265,1505,883
59,266,1570,902
59,267,1385,455
59,268,1448,869
59,269,1896,967
59,270,938,420
60,268,1470,866
60,261,257,713
60,271,1699,918
60,272,592,537
60,273,1069,592
60,274,1313,835
60,275,1305,444
60,276,1359,845
61,276,1376,842
61,268,1509,882
61,261,215,700
61,277,1749,890
61,278,993,573
61,279,1218,431
61,280,534,532
62,280,491,526
62,261,172,683
62,281,1142,419
62,282,1885,909
62,283,1575,849
62,284,929,558
62,285,688,1043
62,286,1474,525
62,287,1903,1033
63,282,1875,894
63,288,1416,825
63,289,1065,415
63,290,1781,879
63,291,858,550
63,292,426,516
63,293,678,388
63,294,629,1036
63,295,1829,894
63,296,1384,506
63,297,1764,540
64,295,1836,897
64,290,1788,894
64,282,1891,900
64,297,1720,532
64,298,1737,883
64,299,773,545
64,300,307,511
64,301,1329,493
64,302,1107,776
64,303,1257,817
65,290,1787,890
65,295,1842,892
65,298,1749,893
65,304,1265,485
65,305,1686,877
65,306,689,535
65,307,915,387
65,308,1444,289
65,309,205,509
65,310,1038,766
65,311,1664,507
65,312,486,364
66,305,1679,879
66,290,1779,881
66,298,1725,878
66,313,1622,867
66,314,90,486
66,315,595,527
66,316,1606,494
66,317,964,767
66,318,1194,460
66,319,825,359
66,320,387,342
66,321,1672,992
66,322,1373,265
67,323,1558,870
68,323,1559,891
68,324,1665,888
68,325,1506,879
68,326,1612,893
68,327,1544,1016
69,327,1536,1010
69,323,1576,894
69,326,1635,891
69,325,1537,895
69,328,1467,883
70,329,1516,539
70,330,1256,594
70,331,409,564
70,332,794,595
70,333,650,571
70,334,247,577
70,335,1312,404
70,336,1030,608
71,336,1029,594
71,332,775,584
71,329,1537,529
71,335,1310,374
71,330,1271,563
71,333,610,552
71,331,363,554
71,334,201,563
71,337,804,300
71,338,459,298
72,334,248,572
72,339,682,567
72,340,873,601
72,341,1717,557
72,342,425,575
72,343,1399,580
72,344,870,295
72,345,1152,611
72,346,518,267
72,347,1411,333
72,348,1033,400
73,340,857,590
73,349,366,620
73,350,1065,646
73,351,573,604
73,352,1653,616
73,353,624,270
73,354,1010,303
73,355,1378,658
73,356,795,307
73,357,1590,337
74,350,1034,617
74,358,1287,661
74,359,726,634
74,360,1847,621
74,361,474,643
74,362,1625,686
74,363,1138,321
74,364,1319,282
74,365,1567,389
74,366,1799,301
74,367,720,265
74,368,1883,996
74,369,911,304
75,367,745,232
75,370,1474,660
75,371,1149,619
75,372,532,665
75,373,836,642
75,374,1789,676
75,375,978,287
75,376,1203,255
75,377,1690,345
75,378,1851,222
75,379,1412,233
76,367,736,238
76,372,547,684
76,375,998,309
76,376,1231,220
76,380,894,648
76,381,1612,688
76,382,1247,630
76,383,1851,667
76,384,1471,218
76,385,1719,194
77,367,742,250
77,376,1243,235
77,384,1484,256
77,372,591,699
77,386,1723,696
77,387,1016,669
77,388,1344,655
77,389,1004,224
78,386,1705,710
78,372,558,683
78,388,1323,688
78,390,1018,539
78,391,1400,286
78,392,1848,672
78,393,1637,240
78,394,623,280
78,395,1833,225
79,396,887,574
79,397,1391,784
79,398,1289,406
79,399,309,458
79,400,304,767
79,401,1531,420
79,402,1841,759
79,403,1636,759
79,404,1097,409
79,405,572,610
80,406,1787,745
80,407,1525,796
80,408,949,606
80,409,86,858
80,410,1269,804
80,411,676,846
80,412,223,578
80,413,683,514
80,414,482,620
80,415,1863,353
80,416,1156,506
80,417,1591,280
81,408,937,600
81,418,1335,716
81,419,531,832
81,420,473,506
81,421,86,706
81,422,1664,435
81,423,284,517
81,424,290,849
82,420,485,459
82,425,813,562
82,426,136,798
82,427,1454,412
82,428,1712,366
82,429,306,452
82,430,392,792
82,431,1627,356
82,432,116,479
82,433,1374,357
82,434,1149,674
83,434,1130,635
83,435,1745,564
83,436,534,603
83,437,751,589
83,438,43,899
84,439,364,621
84,440,1666,655
84,441,905,639
84,442,1303,599
85,443,757,662
85,444,163,629
85,445,1328,664
85,446,1550,656
85,447,1879,759
86,444,200,644
86,446,1508,664
86,448,1209,700
86,449,828,649
86,450,1646,649
86,451,655,568
87,448,1184,687
87,450,1598,658
87,452,1848,560
87,453,931,642
87,454,166,575
87,455,1438,656
88,456,1282,687
88,457,1057,662
88,458,843,632
88,459,1749,539
88,460,454,632
88,461,1522,668
88,462,1650,648
89,460,449,619
89,462,1664,618
89,456,1298,658
89,457,1100,642
89,463,1455,659
89,464,665,610
90,460,452,633
90,464,694,616
90,463,1488,663
90,456,1326,676
90,465,1021,651
90,466,1776,616
91,464,688,610
91,467,1085,636
91,468,1859,694
91,469,1552,643
91,470,1381,736
91,471,388,635
91,472,357,349
92,467,1057,632
92,473,1657,651
92,474,416,593
92,475,216,638
92,476,1472,595
93,473,1673,607
93,477,1136,640
93,478,322,582
93,479,202,450
94,478,307,580
94,473,1661,629
94,477,1108,657
94,479,160,470
94,480,1823,505
95,478,282,581
95,473,1629,641
95,481,1055,655
95,482,116,632
96,478,245,594
96,483,966,663
96,484,1549,655
96,485,1319,738
96,486,1889,618
96,487,54,531
96,488,1225,564
97,484,1584,646
97,478,288,581
97,483,917,664
97,489,1256,660
97,490,1765,632
97,491,37,814
98,483,931,656
98,489,1285,678
98,484,1629,642
98,492,376,573
98,493,1768,465
99,484,1598,627
99,492,351,541
99,483,894,634
99,494,1179,681
99,495,1700,438
100,484,1583,632
100,492,319,549
100,494,1145,678
100,496,786,635
100,497,1636,412
101,492,337,583
101,498,928,665
101,499,1317,687
101,500,1647,645
101,501,50,806
101,502,1821,630
102,503,1024,673
102,504,274,616
102,505,1555,655
103,504,278,610
103,506,1125,657
103,507,1787,683
103,508,1441,652
104,504,308,597
104,506,1101,633
104,509,1580,598
104,510,1853,765
104,511,603,640
104,512,109,694
104,513,877,531
105,504,295,595
105,509,1618,579
105,514,729,641
105,515,1240,619
106,514,734,639
106,516,215,578
106,517,1329,625
106,518,1671,589
106,519,1017,528
107,518,1624,599
107,520,1250,623
107,521,297,579
107,522,621,634
108,523,1170,625
108,524,1769,648
108,525,1546,610
108,526,410,628
108,527,789,499
109,526,425,591
109,528,1084,626
109,529,1479,616
109,530,270,585
109,531,1602,617
109,532,1896,570
110,529,1467,601
110,528,1046,604
110,533,1841,577
110,534,507,569
110,535,325,601
110,536,55,464
111,529,1499,616
111,537,932,613
111,538,1839,629
111,539,448,580
111,540,230,612
111,541,1370,600
112,540,214,617
112,542,985,614
112,543,366,592
112,544,1443,611
112,545,1589,627
112,546,1860,554
112,547,1228,514
113,548,1081,628
113,549,299,568
113,550,1499,600
113,551,1677,635
113,552,146,624
114,550,1487,603
114,552,119,618
114,553,985,627
114,554,473,562
115,553,1000,657
115,550,1522,637
115,555,1798,626
115,556,183,621
115,557,633,566
116,558,253,628
116,559,1673,650
116,560,897,599
116,561,1441,652
117,562,361,734
117,563,427,305
118,564,422,741
118,565,477,391
118,566,314,197
118,567,686,940
119,564,402,740
119,565,450,374
119,567,720,950
120,567,729,952
120,568,427,296
120,569,424,570
121,567,722,947
121,570,450,393
121,571,353,742
122,572,437,735
122,573,444,298
123,572,441,734
123,574,430,395
123,575,461,213
124,575,459,238
124,576,1009,609
124,577,318,219
124,578,797,278
125,579,404,220
125,580,1077,242
125,581,594,241
125,582,1586,521
126,583,756,243
126,584,1208,456
126,585,530,208
127,586,14,857
127,587,891,262
127,588,1260,461
128,589,158,835
128,590,115,970
128,591,1342,468
129,591,1379,444
129,592,269,810
129,593,179,307
129,594,596,1050
129,595,1323,236
130,591,1412,422
130,596,386,772
